,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
gitlab/gims-developers/gims,3.9963706,2.2394013,0.24815384,-1.696915,-1.1854134,-0.6242126,-1.1932751,6.0366488,-0.608119,-0.72034633,3.4703498,2.7014222,0.9237772,1.3713765,0.7411164,0.6495462,1.5874851,-1.9265473,-1.8364546,2.0814214,1.1972748,-2.0728376,-1.0521964,-3.6770992,-1.0970627,-2.4576075,-0.1058165,-3.2566626,-0.353686,-2.0520656,1.3418407,0.7091349,0.5158065,4.8823624,2.7006164,-1.9515792,-4.530278,1.6228434,0.1603499,2.7868283,1.2480602,1.967721,0.38182622,-2.000289,2.1837425,1.1946183,2.775513,3.8691034,1.1726956,-0.65811366
gitlab/vibes-developers/vibes,6.066754,2.390394,-3.788352,0.07838219,0.8188404,-5.5330024,-4.3603563,5.755176,-6.3571286,1.6710796,-2.7316906,4.6525145,-0.04644717,1.6231911,3.6029644,4.948236,-3.1552446,0.2642368,-3.3590882,-1.3730717,0.46492577,0.63333446,0.1858775,0.36190724,-3.4546373,-1.7623112,-1.569015,-5.576291,5.610153,-2.5435808,4.37997,-0.8741296,-0.5496928,-2.3733547,-5.8242993,-0.32926163,-6.505688,-3.685312,-0.20782822,1.1820787,1.5614448,1.4833629,4.629633,-5.7406373,-3.9719741,5.52918,-0.53376645,3.8551784,-0.84842914,-2.3595536
gitlab/project-dare/dare-platform,-1.2221471,2.02899,-1.8487433,-2.6385438,-4.199958,1.9964044,-1.691319,7.571687,-3.7602131,-6.434513,1.5177082,-4.6071434,3.8711581,3.9359868,-1.9768288,-0.7500983,-1.2774713,2.1829119,3.2716904,-1.6063007,2.9081352,-6.0588527,-2.1253145,0.3431961,-0.26800412,-3.8211129,1.0275856,-1.6174388,1.118613,1.3551449,3.0480235,-3.3949258,0.44325513,1.757428,4.8206234,-4.663091,-4.1110616,0.55785656,-0.57913196,0.5773934,-4.2635536,1.1741676,-0.6491929,-3.9806595,2.836725,0.7634259,0.8395708,1.4748656,1.2315105,-2.5858514
gitlab/magnumpi/magnumpi,2.0110915,1.4923579,-2.863405,-4.1059694,0.19884732,0.21904343,0.18742894,0.5109426,-3.4603424,-3.3681483,3.2626665,-1.6758605,1.5349917,-0.11183582,-1.3925511,-0.28368986,2.1961448,0.43949392,-0.41183096,1.9399031,-1.9853449,-2.7443933,-0.7055374,-0.39413387,-3.197781,-2.4944777,3.340631,-2.4715264,-0.8244097,-2.3400416,2.734011,4.843244,1.1298957,3.3396688,2.6016703,-0.33308908,-2.334594,0.18973601,0.20618285,2.3181272,1.1149304,1.3233769,2.3293283,-2.3187711,-1.8837044,3.0015597,3.265641,1.0341886,1.7556063,-1.5308601
gitlab/ampere2/metalwalls,1.3134446,4.9635158,-1.5258669,-0.9445743,-1.8968711,-1.3980082,-1.5532086,3.657383,-2.4390223,-2.8279686,1.612266,3.2939157,1.2804815,1.9988935,0.44943663,0.53699297,0.3573761,2.4257371,-2.0973542,-4.725748,0.8845683,-0.35879338,-1.6867228,2.891948,-2.2878044,0.34052578,1.8469644,-1.8454766,-0.83215463,-2.543558,0.06925071,1.3707962,1.1950669,-0.5812756,-2.636537,2.073116,-2.6282814,-3.5613856,-0.7944847,-1.9142786,4.645247,-0.31111702,1.8585548,0.7562439,2.54974,-1.7946014,1.8921765,-1.2294474,0.7289786,-0.929597
gitlab/remram44/taguette,-3.0354505,-0.6089625,-2.1259432,0.0008616002,-1.8090603,-1.2792625,0.38466588,-0.5041073,-7.3121314,-4.2650094,3.7123165,-3.1751723,0.46524292,1.060782,0.5474993,2.8312137,-0.21439417,-3.2063208,-0.20821477,7.5818334,4.6560674,-1.5098783,-0.21924582,0.16726406,0.85325265,-5.248563,1.2453362,4.0683756,0.74622285,-2.9351192,0.11149664,0.47284144,2.5678926,1.0098451,-0.1890971,4.453128,-2.5349605,7.4229136,2.1478202,-3.0929823,-3.6439648,-0.70620626,-0.84068805,-2.3910882,-2.2581127,-3.2859251,1.5026721,-1.8525369,-2.4795854,-0.6699405
gitlab/jason-rumengan/pyarma,0.34381342,-0.66092134,-0.08125038,-1.2328905,-0.97407794,-1.3298899,1.0455147,-0.723274,-2.6404808,1.1471664,1.488778,-0.58710533,3.1110907,0.59400874,-1.3103317,0.17141914,-0.37723395,-1.5351318,-0.87891763,-3.0478258,-1.4948009,-0.26905602,-5.8804097,2.6084645,0.08626474,0.8765912,-1.0930493,-3.0462067,-3.1502337,-1.3301497,-2.1551673,2.8095608,1.190815,-1.3878266,0.005642001,3.7920113,0.8671041,-3.2451618,-0.32116327,-0.110286765,0.21260788,-0.057050303,1.1853098,-0.10210117,0.22580294,2.5072432,1.7095282,-2.271402,-0.90924174,1.796536
gitlab/fduchate/predihood,-1.0859009,-0.15262039,-1.9131755,-0.22748142,2.2879198,2.508775,-0.2918679,-3.4525049,-0.52405584,-1.3494166,-0.94134754,1.8855485,-2.5778165,2.3118236,1.6841631,-2.5790253,1.1661917,2.1991327,0.935554,1.5984635,-0.7749464,-3.0372639,-0.9354019,-1.9762448,2.9681187,-3.6512702,-4.3267927,0.77095634,-1.2802118,-2.4914823,1.8426676,1.1502515,0.10828666,0.36320648,2.4278185,1.8913451,2.152161,-1.4959024,1.9050665,-1.2854863,-1.7895534,-2.7450275,1.6494223,-4.2389736,-1.3961271,-1.7686999,3.724716,-1.6050936,2.0695364,-1.282092
gitlab/mainlabwsu/bims,-1.3016001,0.019827314,-1.6384906,-1.1959591,-0.6426642,0.7716531,-1.4601014,1.1465245,0.044666786,-0.6882541,0.4449501,0.2882788,-1.3113668,-0.1138596,0.20758796,1.9887015,0.48959118,0.21386819,2.4798238,0.4504895,-0.003488499,-0.63886017,-1.3631014,0.15767889,0.75469154,-0.17106137,0.8403296,-0.21721102,-1.239331,-0.65277606,1.4009016,0.8300649,-0.31076792,0.38811162,0.15446736,0.8012265,-1.4911569,0.06817337,-0.6347542,-2.0675428,0.9163963,0.27139792,0.0872175,-2.989422,-1.025177,-0.551248,0.68649524,1.1382042,-1.0019643,1.7118219
gitlab/ChemBioHub/tpmap,-0.75318056,4.8687763,-3.4164112,-0.047442168,-3.4070978,2.6882014,1.2210099,1.1527964,-0.82340485,-0.5535524,2.7175546,4.4568715,-4.155829,1.181011,5.0353026,2.7765057,-2.7737415,5.7537417,-0.004406229,2.5396903,-0.96980226,-3.1790788,-5.4987125,-2.442076,2.4706817,-4.253764,-1.5483768,1.396565,-4.261255,-6.5435495,5.131588,0.749601,-2.5325696,-1.1548369,2.391767,1.0604762,-1.4331653,3.4955275,-1.7785102,4.376283,-0.5707913,-0.13682318,-0.69576895,2.3435092,-0.24372622,-2.7074199,-1.1100576,-4.5639505,0.5606134,1.2064637
gitlab/davidtourigny/dynamic-fba,1.719289,1.3358488,-0.8689731,-4.071636,-0.6312118,-1.9784632,1.9204283,1.7459731,1.2667465,0.067177735,2.577074,0.7445978,1.6745106,1.8512764,0.8752467,1.7626823,-2.8298028,1.5723333,2.636449,-0.47539064,-2.8773246,-1.7148998,-4.5228972,-0.22931951,0.1489251,0.9675929,0.98685783,-1.2511511,-2.2481227,-0.6820924,0.26271272,-0.044414103,-0.16432291,-1.0311526,-0.84562254,1.2747625,2.2454054,-6.202332,-3.098148,-0.08790261,2.2725654,2.4599788,1.0214761,-1.7647132,0.9317714,-1.3628815,3.6402304,-0.15562768,-0.14404611,-1.255617
gitlab/vincent-sater/umigen,-6.358676,-0.67739785,-6.9413404,-3.3067253,2.7129955,-9.519503,5.853777,2.4620795,1.7552993,2.7539005,0.7116266,2.3884466,-0.29836574,-0.48560765,2.1971955,0.69688934,-4.516571,0.17829348,-2.6092627,4.927078,2.6745832,4.1502137,-4.35798,-6.595505,0.4089866,1.8948402,1.0891359,-5.497536,-2.5410159,1.1238613,0.45934713,-2.883109,5.1452284,-0.7863507,-2.1785145,7.251477,-0.47684038,-3.6515749,-1.7451833,0.7665834,1.8226597,-6.8449354,3.160709,-1.741315,0.19571453,0.045065176,-1.0593702,-2.4033751,1.4904083,8.940656
gitlab/geekysquirrel/bigx,-0.47406128,0.84321654,1.013865,-1.1373153,2.6672158,2.4001927,-2.4443994,-1.1510319,-1.1274546,-1.7756423,-1.3998543,-5.7887454,-1.460664,1.1339662,0.68311876,2.441885,6.3126726,-1.7933551,-1.7389541,4.1847434,0.5786328,-1.2906463,-1.9090198,-3.235442,2.2803917,-0.8985,-0.92855203,-0.64939517,-3.1427116,0.32433486,4.4352303,0.014190051,-1.0079597,3.2481098,0.7190074,1.9112474,-3.2699444,3.078966,3.7745166,-0.26515338,0.30835277,-1.9258628,-2.821347,-1.579918,-4.53606,-0.96588784,5.999975,-0.06845164,1.9784923,-0.7538099
